,,,,,,,,
,,,,,,,,
,Ticket,RTV Type,Supplier,RTV #,Collection Date,Collection Time,"C3
Reservation
Number",Status
,CGOPS-17227,RTV,28972 - UKHallowoodFurniture,FSW58160974,18-Jan,8:00,24761470 / 24761496 / 24761504,Shipped
,CGOPS-15524,RTV,9759 - UKJRosenthalSonLtd,FSW58024032,19-Jan,8:00,24762320,Shipped
,CGOPS-7103,Liquidation,46995 - EUAntique Revival Inc (Stool International),DM20211230084524,11-Oct,,,Shipped
,CGOPS-17401,RTV,2754 - UK Ancient Mariner,FSW58196069,13-Jan,,24847915,Shipped
,CGOPS-12484,RTV,10746 - UKTCGroup - DS Level,DM20220120030515,25-Jan,8:00,24972325,Shipped
,CGOPS-15689,RTV,58666 - EUFlash Furniture,FSW57545070,15-Mar,10:00,"Friday: 25476029,                    25476011               Monday:  25476037",Shipped
,CGOPS-18179,RTV,28972 - UKHallowoodFurniture,FSW58432070,27-Jan,8:00,24848947,Shipped
,CGOPS-18451,RTV,17905 - UKEcoFurniture,FSW58464094,31-Jan,14:00,24845943,Shipped
,CGOPS-18773,RTV,9759 - UKJRosenthalSonLtd,FSW58616359,1-Feb,8:00,24994410,Shipped
,CGOPS-13259,RTV,6064 - UKBirlea,FSW58493577,1-Feb,13:00,25003419,Shipped
,CGOPS-13259,RTV,6064 - UKBirlea,FSW58432301,8-Feb,1-3pm,"Used: 25003419
New: 25093113",Shipped
,CGOPS-19215,RTV,28972 - UKHallowoodFurniture,FSW58650855,3-Feb,,25031964,Shipped
,CGOPS-18609,RTV,9200 - UKBelledorm,FSW58706207,3-Feb,12:00,,Cancelled
,CGOPS-19907,RTV,11629 - UKGalleryDirect,FSW58865812        ,7-Feb,9:00 AM,25093592,Shipped
,CGOPS-19941,RTV,13403 - UKBeliani,FSW58870249,7-Feb,12:00,25100439,Shipped
,CGOPS-19512,RTV,37802 - EUMontyTradingLtd,FSW58711267,8-Feb,8:00,25112194,Shipped
,CGOPS-18558,Liquidation,54309 - EUClassic Sleep,DM20220131071952 / DM20220215093947,20-Jan,,,Shipped
,CGOPS-19942,RTV,13403 - UKBeliani,FSW58870520,9-Feb,12:00,25105016,Shipped
,CGOPS-17046,RTV,25376 - UKSelseyLiving,FSW58058592,25-Feb,9:00,25278938,Shipped
,CGOPS-14866,RTV,25376 - UKSelseyLiving,FSW57345197,25-Feb,9:00,25278938,Shipped
,CGOPS-18179,RTV,28972 - UKHallowoodFurniture,FSW58467478,10-Feb,11:00,24993909,Shipped
,WIC-1787,RTV,28972 - UKHallowoodFurniture,DM20220208083241,10-Feb,11:00,AS ABOVE CELL Y24,Shipped
,CGOPS-18558,RTV,13403 - UKBeliani,FSW58870762,14-Feb,12:00,25131764,Shipped
,CGOPS-11486,Liquidation,5241 - DEWimex,DM TBC ,,,,Shipped
